Sample;Site;Visit;Traffic;Roadverge;Verge.width;Date;Time;Temp;Weather;Wind_speed;Wind_direction;Side.road;Species;Caste;Behaviour;N;E;
203;Tierp;2;125;SR;3,1;2020-05-22;13:00;18;Sunny;2(7);SO;W;B. pascuorum;queen;dead;6689370;642592;
204;Tierp;2;125;SR;3,1;2020-05-22;13:00;18;Sunny;2(7);SO;W;B. pascuorum;queen;nesting;6689429;642394;
205;Tierp;2;125;SR;3,1;2020-05-22;13:00;18;Sunny;2(7);SO;E;B. sylvarum;queen;foraging;6689319;641765;
206;Tierp;2;125;SR;3,1;2020-05-22;13:00;18;Sunny;2(7);SO;E;B. lucorum coll.;queen;dead;6689436;642350;
207;Rovsättra;2;267;SR;4,32;2020-05-22;15:25;18;Sunny;3(11);O;W;B. bohemicus;queen;foraging;6684035;674279;
208;Rovsättra;2;267;SR;4,32;2020-05-22;15:25;18;Sunny;3(11);O;W;B. terrestris;queen;foraging;6684651;673991;
209;Rovsättra;2;267;SR;4,32;2020-05-22;15:25;18;Sunny;3(11);O;E;B. pascuorum;queen;foraging;6684687;673918;
210;Sigtuna;2;6356;SR;5,231;2020-05-25;09:35;15;Sunny;3(7);N;S;B. lapidarius;queen;dead;6615239;648690;
211;Sigtuna;2;6356;SR;5,231;2020-05-25;09:35;15;Sunny;3(7);N;N;B. sylvarum;queen;foraging;6615125;648513;
212;Sigtuna;2;6356;SR;5,231;2020-05-25;09:35;15;Sunny;3(7);N;N;B. subterraneus;queen;foraging;6615125;648513;
213;Sigtuna;2;6356;SR;5,231;2020-05-25;09:35;15;Sunny;3(7);N;N;B. sylvarum;queen;foraging;6615125;648513;
214;Häggeby;2;3312;SR;4,665;2020-05-25;11:10;17;Sunny;3(7);N;N;unknown;queen;passing;6613530;642028;
215;Häggeby;2;3312;SR;4,665;2020-05-25;11:10;17;Sunny;3(7);N;N;B. bohemicus;queen;nesting;6613444;641911;
216;Häggeby;2;3312;SR;4,665;2020-05-25;11:10;17;Sunny;3(7);N;N;B. terrestris;queen;nesting;6613271;641811;
217;Häggeby;2;3312;SR;4,665;2020-05-25;11:10;17;Sunny;3(7);N;N;B. lucorum coll.;queen;dead;6613271;641811;
218;Häggeby;2;3312;SR;4,665;2020-05-25;11:10;17;Sunny;3(7);N;N;B. terrestris;queen;nesting;6613219;641771;
219;Häggeby;2;3312;SR;4,665;2020-05-25;11:10;17;Sunny;3(7);N;N;B. lucorum coll.;queen;nesting;6613078;641613;
220;Häggeby;2;3312;SR;4,665;2020-05-25;11:10;17;Sunny;3(7);N;S;B. terrestris;queen;nesting;6613138;641716;
221;Häggeby;2;3312;SR;4,665;2020-05-25;11:10;17;Sunny;3(7);N;S;B. lucorum coll.;queen;dead;6613322;641846;
222;Häggeby;2;3312;SR;4,665;2020-05-25;11:10;17;Sunny;3(7);N;S;B. sylvestris;queen;dead;6613439;641919;
223;Häggeby;2;3312;SR;4,665;2020-05-25;11:10;17;Sunny;3(7);N;S;B. pascuorum;queen;dead;6613459;641943;
224;Häggeby;2;3312;SR;4,665;2020-05-25;11:10;17;Sunny;3(7);N;S;B. terrestris;queen;dead;6613528;642055;
225;Häggeby;2;3312;SR;4,665;2020-05-25;11:10;17;Sunny;3(7);N;S;unknown;queen;dead;6613536;642094;
226;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;N;B. bohemicus;queen;nesting;6635111;629806;
227;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;N;B. ruderarius;queen;nesting;6635140;629779;
228;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;N;B. bohemicus;queen;nesting;6635155;629766;
229;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;N;B. sylvarum;queen;passing;6635322;629317;
230;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;N;unknown;queen;nesting;6635322;629317;
231;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;N;B. bohemicus;queen;nesting;6635350;629244;
232;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;S;B. bohemicus;queen;foraging;6635444;629045;
233;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;S;B. bohemicus;queen;nesting;6635430;629064;
234;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;S;B. bohemicus;queen;nesting;6635417;629077;
235;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;S;B. sylvarum;queen;nesting;6635307;629343;
236;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;S;B. sylvarum;queen;foraging;6635307;629343;
237;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;S;B. bohemicus;queen;nesting;6635279;629631;
238;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;S;B. ruderarius;queen;nesting;6635143;629767;
239;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;S;B. lapidarius;queen;nesting;6635155;629776;
240;Skogs-Tibble;2;158;SP;3,98;2020-05-25;13:45;19;Sunny;2(7);N;S;B. terrestris;queen;nesting;6635085;629818;
241;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;E;B. ruderarius;queen;foraging;6635911;635327;
242;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;E;B. bohemicus;queen;nesting;6636003;635330;
243;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;E;B. terrestris;queen;nesting;6636003;635330;
244;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;E;B. terrestris;queen;nesting;6636094;635311;
245;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;E;B. ruderarius;queen;nesting;6636346;635333;
246;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;E;B. sylvarum;queen;passing;6636420;635394;
247;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;E;B. sylvarum;queen;foraging;6636436;635402;
248;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;E;B. lapidarius;queen;nesting;6636576;635467;
249;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;E;B. sylvarum;queen;nesting;6636576;635467;
250;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;E;B. terrestris;queen;dead;6636789;635581;
251;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;W;B. ruderarius;queen;foraging;6636742;635534;
252;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;W;B. sylvarum;queen;nesting;6635956;635325;
253;Vänge;2;562;SP;4,15;2020-05-25;16:00;19;Sunny;3(7);NO;W;B. bohemicus;queen;nesting;6635895;635314;
254;Arlanda;2;829;SR;5,41;2020-05-26;09:30;17;Sunny;1(4);O;E;B. ruderarius;queen;foraging;6617898;668161;
255;Arlanda;2;829;SR;5,41;2020-05-26;09:30;17;Sunny;1(4);O;W;B. sylvarum;queen;passing;6617972;668119;
256;Arlanda;2;829;SR;5,41;2020-05-26;09:30;17;Sunny;1(4);O;W;unknown;queen;nesting;6617928;668132;
257;Arlanda;2;829;SR;5,41;2020-05-26;09:30;17;Sunny;1(4);O;W;B. humilis;queen;nesting;6617621;668083;
258;Arlanda;2;829;SR;5,41;2020-05-26;09:30;17;Sunny;1(4);O;W;B. hypnorum;queen;dead;6617556;668030;
259;Arlanda;2;829;SR;5,41;2020-05-26;09:30;17;Sunny;1(4);O;W;B. bohemicus;queen;nesting;6617509;667973;
260;Arlanda;2;829;SR;5,41;2020-05-26;09:30;17;Sunny;1(4);O;W;B. bohemicus;queen;dead;6617489;667942;
261;Arlanda;2;829;SR;5,41;2020-05-26;09:30;17;Sunny;1(4);O;W;B. pascuorum;queen;foraging;6617374;667802;
262;Arlanda;2;829;SR;5,41;2020-05-26;09:30;17;Sunny;1(4);O;E;B. lucorum coll.;queen;dead;6617379;667817;
263;Arlanda;2;829;SR;5,41;2020-05-26;09:30;17;Sunny;1(4);O;E;B. lucorum coll.;queen;dead;6617410;667851;
264;Arlanda;2;829;SR;5,41;2020-05-26;09:30;17;Sunny;1(4);O;E;B. lucorum;queen;dead;6617621;668094;
265;Gottröra;2;3718;SP;4,4;2020-05-26;12:00;20;Sunny;2(7);V;N;B. sylvarum;queen;passing;6626825;676586;
266;Gottröra;2;3718;SP;4,4;2020-05-26;12:00;20;Sunny;2(7);V;N;B. terrestris;queen;dead;6626852;676491;
267;Gottröra;2;3718;SP;4,4;2020-05-26;12:00;20;Sunny;2(7);V;N;unknown;queen;dead;6626878;676381;
268;Gottröra;2;3718;SP;4,4;2020-05-26;12:00;20;Sunny;2(7);V;N;B. pascuorum;queen;dead;6626865;676115;
269;Gottröra;2;3718;SP;4,4;2020-05-26;12:00;20;Sunny;2(7);V;N;B. terrestris;queen;dead;6626861;676022;
270;Gottröra;2;3718;SP;4,4;2020-05-26;12:00;20;Sunny;2(7);V;N;B. lapidarius;queen;dead;6626747;676887;
271;Rimbo;2;939;SP;5,19;2020-05-26;14:20;21;Sunny;2(7);V;S;B. pascuorum;queen;dead;6625107;694375;
272;Rimbo;2;939;SP;5,19;2020-05-26;14:20;21;Sunny;2(7);V;N;unknown;queen;dead;6625068;694359;
273;Rimbo;2;939;SP;5,19;2020-05-26;14:20;21;Sunny;2(7);V;N;B. lucorum coll.;queen;dead;6624928;694183;
274;Rimbo;2;939;SP;5,19;2020-05-26;14:20;21;Sunny;2(7);V;N;B. pascuorum;queen;dead;6624875;694106;
275;Rimbo;2;939;SP;5,19;2020-05-26;14:20;21;Sunny;2(7);V;N;B. terrestris;queen;dead;6624869;694094;
276;Rimbo;2;939;SP;5,19;2020-05-26;14:20;21;Sunny;2(7);V;N;B. terrestris;queen;dead;6624641;693631;
277;Rimbo;2;939;SP;5,19;2020-05-26;14:20;21;Sunny;2(7);V;S;B. pascuorum;queen;foraging;6624754;693884;
278;Rimbo;2;939;SP;5,19;2020-05-26;14:20;21;Sunny;2(7);V;S;B. pascuorum;queen;dead;6624772;693926;
279;Upplands-Väsby;2;6168;SP;4,76;2020-05-26;16:35;21;Cloudy;2(7);SV;E;B. terrestris;queen;dead;6598958;661381;
280;Upplands-Väsby;2;6168;SP;4,76;2020-05-26;16:35;21;Cloudy;2(7);SV;E;B. terrestris;queen;dead;6598715;661357;
281;Upplands-Väsby;2;6168;SP;4,76;2020-05-26;16:35;21;Cloudy;2(7);SV;E;unknown;queen;dead;6598321;661423;
282;Upplands-Väsby;2;6168;SP;4,76;2020-05-26;16:35;21;Cloudy;2(7);SV;E;B. ruderarius;queen;dead;6598265;661454;
283;Upplands-Väsby;2;6168;SP;4,76;2020-05-26;16:35;21;Cloudy;2(7);SV;W;B. pascuorum;queen;foraging;6598765;661368;
284;Upplands-Väsby;2;6168;SP;4,76;2020-05-26;16:35;21;Cloudy;2(7);SV;W;B. ruderarius;queen;foraging;6599010;661414;
285;Skärplinge;2;570;SR;3,8;2020-05-27;10:20;15;Overcast;5(10);N;W;B. hortorum;queen;nesting;6713237;650339;
286;Skärplinge;2;570;SR;3,8;2020-05-27;10:20;15;Overcast;5(10);N;W;unknown;queen;dead;6712895;650395;
287;Skärplinge;2;570;SR;3,8;2020-05-27;10:20;15;Overcast;5(10);N;W;B. lucorum coll.;queen;dead;6712776;650432;
288;Skärplinge;2;570;SR;3,8;2020-05-27;10:20;15;Overcast;5(10);N;W;B. sylvarum;queen;dead;6712767;650435;
289;Skärplinge;2;570;SR;3,8;2020-05-27;10:20;15;Overcast;5(10);N;W;B. lucorum coll.;queen;dead;6712480;650517;
290;Skärplinge;2;570;SR;3,8;2020-05-27;10:20;15;Overcast;5(10);N;W;B. lucorum coll.;queen;dead;6712335;650521;
291;Skärplinge;2;570;SR;3,8;2020-05-27;10:20;15;Overcast;5(10);N;W;B. lucorum coll.;queen;foraging;6712316;650520;
292;Skärplinge;2;570;SR;3,8;2020-05-27;10:20;15;Overcast;5(10);N;E;B. sylvestris;queen;foraging;6712413;650531;
293;Skärplinge;2;570;SR;3,8;2020-05-27;10:20;15;Overcast;5(10);N;E;B. pascuorum;queen;dead;6712506;650514;
294;Skärplinge;2;570;SR;3,8;2020-05-27;10:20;15;Overcast;5(10);N;E;B. lucorum coll.;queen;dead;6712524;650510;
295;Skutskär;2;930;SR;4,31;2020-05-27;13:45;15;Overcast;2(8);NO;E;B. lapidarius;queen;foraging;6719179;633660;
296;Skutskär;2;930;SR;4,31;2020-05-27;13:45;15;Overcast;2(8);NO;E;B. ruderarius;queen;nesting;6719236;633629;
297;Skutskär;2;930;SR;4,31;2020-05-27;13:45;15;Overcast;2(8);NO;E;B. cryptarum;queen;nesting;6719283;633602;
298;Skutskär;2;930;SR;4,31;2020-05-27;13:45;15;Overcast;2(8);NO;E;B. cryptarum;queen;nesting;6719287;633603;
299;Skutskär;2;930;SR;4,31;2020-05-27;13:45;15;Overcast;2(8);NO;E;B. pascuorum;queen;dead;6719603;633532;
300;Skutskär;2;930;SR;4,31;2020-05-27;13:45;15;Overcast;2(8);NO;E;B. lucorum coll.;queen;dead;6719761;633452;
301;Skutskär;2;930;SR;4,31;2020-05-27;13:45;15;Overcast;2(8);NO;E;B. ruderarius;queen;nesting;6719887;633438;
302;Skutskär;2;930;SR;4,31;2020-05-27;13:45;15;Overcast;2(8);NO;W;B. bohemicus;queen;nesting;6719980;633413;
303;Skutskär;2;930;SR;4,31;2020-05-27;13:45;15;Overcast;2(8);NO;W;B. lapidarius;queen;dead;6719426;633573;
304;Skutskär;2;930;SR;4,31;2020-05-27;13:45;15;Overcast;2(8);NO;W;B. lucorum coll.;queen;dead;6719292;633591;
305;Knutby;2;373;SR;4,5;2020-05-28;10:00;14;Overcast;3(9);N;E;B. lapidarius;queen;nesting;6648492;683305;
306;Knutby;2;373;SR;4,5;2020-05-28;10:00;14;Overcast;3(9);N;E;B. terrestris;queen;nesting;6648562;683299;
307;Knutby;2;373;SR;4,5;2020-05-28;10:00;14;Overcast;3(9);N;E;B. bohemicus;queen;foraging;6648992;683375;
308;Knutby;2;373;SR;4,5;2020-05-28;10:00;14;Overcast;3(9);N;E;B. lapidarius;queen;dead;6649196;683458;
309;Östhammar;2;1662;SP;3,55;2020-05-28;12:00;14;Overcast;4(10);N;W;unknown;queen;dead;6679818;686456;
310;Östhammar;2;1662;SP;3,55;2020-05-28;12:00;14;Overcast;4(10);N;E;B. lapidarius;queen;dead;6679854;686447;
311;Östhammar;2;1662;SP;3,55;2020-05-28;12:00;14;Overcast;4(10);N;E;B. pascuorum;queen;dead;6680007;686379;
312;Östhammar;2;1662;SP;3,55;2020-05-28;12:00;14;Overcast;4(10);N;E;unknown;queen;fake dead;6680127;686353;
313;Östhammar;2;1662;SP;3,55;2020-05-28;12:00;14;Overcast;4(10);N;E;B. terrestris;queen;dead;6680494;686319;
314;Hargshamn;2;1726;SR;4,17;2020-05-28;14:00;16;Cloudy;4(10);N;E;B. pratorum;queen;dead;6670158;691892;
315;Hargshamn;2;1726;SR;4,17;2020-05-29;14:00;16;Cloudy;4(10);N;E;B. sylvarum;queen;foraging;6670332;691715;
316;Arlanda;3;829;SR;5,41;2020-08-25;14:30;20;cloudy;4(8);SV;E;B. pascuorum;queen;foraging;6618146;668045;
317;Arlanda;3;829;SR;5,41;2020-08-25;14:30;20;cloudy;4(8);SV;E;B. pascuorum;queen;foraging;6617963;668137;
318;Arlanda;3;829;SR;5,41;2020-08-25;14:30;20;cloudy;4(8);SV;E;B. pascuorum;queen;foraging;6617483;667953;
319;Arlanda;3;829;SR;5,41;2020-08-25;14:30;20;cloudy;4(8);SV;E;B. pascuorum;queen;foraging;6617477;667940;
320;Arlanda;3;829;SR;5,41;2020-08-25;14:30;20;cloudy;4(8);SV;E;B. terrestris;queen;foraging;6617397;667840;
321;Arlanda;3;829;SR;5,41;2020-08-25;14:30;20;cloudy;4(8);SV;E;B. pascuorum;queen;foraging;6617394;667830;
322;Arlanda;3;829;SR;5,41;2020-08-25;14:30;20;cloudy;4(8);SV;W;B. pascuorum;queen;foraging;6617675;668110;
323;Upplands-Väsby;3;6168;SP;4,76;2020-08-25;16:00;18;cloudy;3(8);NV;W;B. terrestris;queen;foraging;6598540;661360;
324;Upplands-Väsby;3;6168;SP;4,76;2020-08-25;16:00;18;cloudy;3(8);NV;W;B. terrestris;queen;foraging;6598540;661360;
325;Upplands-Väsby;3;6168;SP;4,76;2020-08-25;16:00;18;cloudy;3(8);NV;W;B. terrestris;queen;foraging;6598556;661361;
326;Upplands-Väsby;3;6168;SP;4,76;2020-08-25;16:00;18;cloudy;3(8);NV;W;B. pascuorum;queen;foraging;6598556;661361;
327;Upplands-Väsby;3;6168;SP;4,76;2020-08-25;16:00;18;cloudy;3(8);NV;W;B. soroeensis;queen;foraging;6598634;661357;
328;Upplands-Väsby;3;6168;SP;4,76;2020-08-25;16:00;18;cloudy;3(8);NV;E;B. pascuorum;queen;foraging;6598663;661370;
329;Rimbo;3;939;SP;5,19;2020-08-26;10:50;17;sunny;1(6);W;S;B. pascuorum;queen;foraging;6625023;694310;
330;Rimbo;3;939;SP;5,19;2020-08-26;10:50;17;sunny;1(6);W;S;B. pascuorum;queen;foraging;6625023;694310;
331;Rimbo;3;939;SP;5,19;2020-08-26;10:50;17;sunny;1(6);W;N;B. pascuorum;queen;foraging;6624732;693808;
332;Rimbo;3;939;SP;5,19;2020-08-26;10:50;17;sunny;1(6);W;N;B. pascuorum;queen;foraging;6625100;694398;
333;Knutby;3;373;SR;4,5;2020-08-26;13:00;20;cloudy;1(6);W;E;B. sylvarum;queen;foraging;6649211;683461;
334;Knutby;3;373;SR;4,5;2020-08-26;13:00;20;cloudy;1(6);W;E;B. pascuorum;queen;foraging;6648993;683373;
335;Knutby;3;373;SR;4,5;2020-08-26;13:00;20;cloudy;1(6);W;E;B. pascuorum;queen;foraging;6648887;683337;
336;Knutby;3;373;SR;4,5;2020-08-26;13:00;20;cloudy;1(6);W;E;B. pascuorum;queen;foraging;6648861;683325;
337;Knutby;3;373;SR;4,5;2020-08-26;13:00;20;cloudy;1(6);W;E;B. pascuorum;queen;foraging;6648861;683325;
338;Knutby;3;373;SR;4,5;2020-08-26;13:00;20;cloudy;1(6);W;E;B. lucorum coll.;queen;foraging;6648785;683314;
339;Knutby;3;373;SR;4,5;2020-08-26;13:00;20;cloudy;1(6);W;W;B. sylvarum;queen;foraging;6649622;683568;
340;Knutby;3;373;SR;4,5;2020-08-26;13:00;20;cloudy;1(6);W;W;B. pascuorum;queen;foraging;6649622;683568;
341;Gottröra;3;3718;SP;4,4;2020-08-27;10:30;17;sunny;3(8);NW;N;B. lapidarius;queen;dead;6627047;675589;
342;Hargshamn;3;1726;SR;4,17;2020-08-27;13:00;18;cloudy;4(10);NW;E;B. campestris;queen;foraging;6670687;691188;
343;Hargshamn;3;1726;SR;4,17;2020-08-27;13:00;18;cloudy;4(10);NW;E;B. pascuorum;queen;foraging;6670663;691255;
344;Hargshamn;3;1726;SR;4,17;2020-08-27;13:00;18;cloudy;4(10);NW;E;B. campestris;queen;foraging;6670663;691255;
345;Hargshamn;3;1726;SR;4,17;2020-08-27;13:00;18;cloudy;4(10);NW;W;B. campestris;queen;foraging;6670629;691315;
346;Hargshamn;3;1726;SR;4,17;2020-08-27;13:00;18;cloudy;4(10);NW;W;B. pascuorum;queen;foraging;6670660;691236;
347;Rovsättra;3;267;SR;4,32;2020-08-27;16:30;17;sunny;3(9);NW;W;B. pascuorum;queen;foraging;6683958;674251;
348;Rovsättra;3;267;SR;4,32;2020-08-27;16:30;17;sunny;3(9);NW;E;B. bohemicus;queen;foraging;6684277;674169;
349;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;S;B. bohemicus;queen;foraging;6653682;639027;
350;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;S;B. bohemicus;queen;foraging;6653691;639009;
351;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;N;B. lucorum coll.;queen;foraging;6653871;638454;
352;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;N;B. pascuorum;queen;foraging;6653860;638535;
353;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;N;B. hortorum;queen;foraging;6653860;638535;
354;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;N;B. pascuorum;queen;foraging;6653860;638553;
355;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;N;B. pratorum;queen;foraging;6653859;638557;
356;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;N;B. bohemicus;queen;foraging;6653855;638637;
357;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;N;B. pascuorum;queen;foraging;6653848;638678;
358;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;N;B. pascuorum;queen;foraging;6653760;638915;
359;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;N;B. bohemicus;queen;foraging;6653760;638915;
360;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;N;B. bohemicus;queen;foraging;6653694;639017;
361;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;N;B. bohemicus;queen;foraging;6653653;639093;
362;Björklinge;3;247;SP;2,88;2020-08-28;11:00;15;cloudy;2(5) ;NE;N;B. bohemicus;queen;foraging;6653637;639122;
363;Tierp;3;125;SR;3,1;2020-08-28;13:45;16;cloudy;2(6);NE;S;B. pascuorum;queen;foraging;6689410;642157;
364;Tierp;3;125;SR;3,1;2020-08-28;13:45;16;cloudy;2(6);NE;S;B. pascuorum;queen;foraging;6689314;641763;
365;Skärplinge;3;570;SR;3,8;2020-08-28;16:00;18;cloudy;2(5);SE;W;B. bohemicus;queen;foraging;6712338;650517;
366;Skärplinge;3;570;SR;3,8;2020-08-28;16:00;18;cloudy;2(5);SE;W;B. lucorum coll.;queen;foraging;6713229;650340;
367;Skogs-Tibble;3;158;SP;3,98;2020-08-30;11:45;18;cloudy;1(4);N;S;B. pascuorum;queen;foraging;6635168;629745;
368;Skogs-Tibble;3;158;SP;3,98;2020-08-30;11:45;18;cloudy;1(4);N;S;B. pascuorum;queen;passing;6635216;629698;
369;Skogs-Tibble;3;158;SP;3,98;2020-08-30;11:45;18;cloudy;1(4);N;S;B. pascuorum;queen;foraging;6635293;629544;
370;Skogs-Tibble;3;158;SP;3,98;2020-08-30;11:45;18;cloudy;1(4);N;N;B. campestris;queen;passing;6635213;629713;
371;Skutskär;3;930;SR;4,31;2020-08-30;14:30;15;cloudy;2(6);N;W;B. pascuorum;queen;foraging;6719766;633437;
372;Strängnäs;3;372;SP;4,43;2020-08-31;11:00;13;sunny;5(10);NW;E;B. hortorum;queen;foraging;6584826;609183;
373;Strängnäs;3;372;SP;4,43;2020-08-31;11:00;13;sunny;5(10);NW;W;B. bohemicus;queen;foraging;6584041;609207;
374;Arlanda;4;829;SR;5,41;2020-09-01;10:00;18;sunny;3(8);NE;W;B. pascuorum;queen;foraging;6618133;668046;
375;Upplands-Väsby;4;6168;SP;4,76;2020-09-01;12:30;18;cloudy;3(7);NW;W;B. terrestris;queen;foraging;6598535;661362;
376;Upplands-Väsby;4;6168;SP;4,76;2020-09-01;12:30;18;cloudy;3(7);NW;W;B. pascuorum;queen;foraging;6598565;661359;
377;Upplands-Väsby;4;6168;SP;4,76;2020-09-01;12:30;18;cloudy;3(7);NW;W;B. pascuorum;queen;foraging;6598637;661353;
378;Upplands-Väsby;4;6168;SP;4,76;2020-09-01;12:30;18;cloudy;3(7);NW;W;B. hortorum;queen;foraging;6598713;661353;
379;Knutby;4;373;SR;4,5;2020-09-02;10:35;16;cloudy;4(8);SE;E;B. pascuorum;queen;foraging;6648949;683357;
380;Knutby;4;373;SR;4,5;2020-09-02;10:35;16;cloudy;4(8);SE;W;B. pascuorum;queen;foraging;6649404;683527;
381;Hargshamn;4;1726;SR;4,17;2020-09-02;12:10;17;cloudy;4(9);SE;E;B. soroeensis;queen;foraging;6670694;691163;
382;Hargshamn;4;1726;SR;4,17;2020-09-02;12:10;17;cloudy;4(9);SE;E;B. soroeensis;queen;foraging;6670691;691180;
383;Hargshamn;4;1726;SR;4,17;2020-09-02;12:10;17;cloudy;4(9);SE;E;B. campestris;queen;foraging;6670660;691263;
384;Hargshamn;4;1726;SR;4,17;2020-09-02;12:10;17;cloudy;4(9);SE;E;B. bohemicus;queen;foraging;6670660;691263;
385;Hargshamn;4;1726;SR;4,17;2020-09-02;12:10;17;cloudy;4(9);SE;E;B. bohemicus;queen;foraging;6670660;691263;
386;Hargshamn;4;1726;SR;4,17;2020-09-02;12:10;17;cloudy;4(9);SE;E;B. bohemicus;queen;foraging;6670660;691263;
387;Hargshamn;4;1726;SR;4,17;2020-09-02;12:10;17;cloudy;4(9);SE;W;B. bohemicus;queen;foraging;6670657;691236;
388;Rimbo;4;939;SP;5,19;2020-09-02;15:00;17;cloudy;4(11);SE;S;B. terrestris;queen;foraging;6624824;694038;
389;Rimbo;4;939;SP;5,19;2020-09-02;15:00;17;cloudy;4(11);SE;N;B. terrestris;queen;foraging;6625208;694543;
390;Gottröra;4;3718;SP;4,4;2020-09-02;16:20;17;cloudy;4(10);NE;S;B. lucorum coll.;queen;foraging;6626975;675809;
391;Skogs-Tibble;4;158;SP;3,98;2020-09-04;16:15;17;cloudy;3(7);SW;E;B. campestris;queen;foraging;6635214;629716;
392;Skogs-Tibble;4;158;SP;3,98;2020-09-04;16:15;17;cloudy;3(7);SW;E;B. pascuorum;queen;foraging;6635168;629758;
393;Skutskär;4;930;SR;4,31;2020-09-06;13:00;18;sunny;3(8);SW;W;B. humilis;queen;foraging;6719334;633576;
394;Skutskär;4;930;SR;4,31;2020-09-06;13:00;18;sunny;3(8);SW;W;B. rupestris;queen;overwintering;6719668;633496;
395;Skutskär;4;930;SR;4,31;2020-09-06;13:00;18;sunny;3(8);SW;W;B. pratorum;queen;foraging;6719810;633431;
396;Skutskär;4;930;SR;4,31;2020-09-06;13:00;18;sunny;3(8);SW;E;B. humilis;queen;passing;6719789;633443;
397;Häggeby;4;3312;SR;4,665;2020-09-07;11:15;16;sunny;1(4);NW;W;B. terrestris;queen;foraging;6613535;642047;
398;Björklinge;4;247;SP;2,88;2020-09-07;14:45;17;cloudy;2(6);SW;S;B. lucorum coll.;queen;foraging;6653585;639185;
399;Björklinge;4;247;SP;2,88;2020-09-07;14:45;17;cloudy;2(6);SW;S;B. lucorum coll.;queen;foraging;6653600;639165;
400;Björklinge;4;247;SP;2,88;2020-09-07;14:45;17;cloudy;2(6);SW;S;B. pascuorum;queen;foraging;6653842;638657;
401;Björklinge;4;247;SP;2,88;2020-09-07;14:45;17;cloudy;2(6);SW;S;B. pascuorum;queen;foraging;6653845;638621;
402;Björklinge;4;247;SP;2,88;2020-09-07;14:45;17;cloudy;2(6);SW;N;B. lucorum coll.;queen;foraging;6653764;638915;
403;Björklinge;4;247;SP;2,88;2020-09-07;14:45;17;cloudy;2(6);SW;N;B. lucorum coll.;queen;foraging;6653561;639248;
